epoch,supply,reserve_balance,participants,validators,raw_delta_c,effective_delta_c,reproduction_applied,state_hash
42,1226.43105676,103.2333158,132,5,15.98601082,1.2436627,4.88122468,98df50a0b7cfc54a252541780f52cd12101faafa531377482591a7a28cdebdcf
43,1232.59523551,98.60445156,133,5,16.18888995,1.25845452,4.90572423,7168d3fce4c005fb1cd4d3f5eb04159dafb80469ab5810c2481ecc778c33965d
44,1238.79896724,93.95420779,134,5,16.39351663,1.27335079,4.93038094,1131711238741a5b71a584e8a756788d089fe9912860319d1154e2301c5cda38
45,1245.0425152,89.28244938,135,5,16.59990616,1.28835209,4.95519587,b2e1b7f43da67bf4de435974b3cdbfc4d4fdb1da4178da52280d83e05fbd40a0
46,1251.32614425,84.5890403,136,5,16.80807396,1.30345899,4.98017006,99b139a877f34a430979b7b979c680cbe058177aac42b336116f0c66e539cd33
47,1257.6501209,79.87384358,137,5,17.01803556,1.31867207,5.00530458,37823abfa986abca90249cc1eaeed9392e9965252486fb07aece67a831059f99
48,1264.0147133,75.13672132,138,5,17.22980666,1.33399192,5.03060048,047a93a86e9fa5c11511f33b288963f3d73b0b5537f2fdb94d718d83bd4028b9
49,1270.42019124,70.37753467,139,5,17.44340304,1.34941909,5.05605885,cdf684185b011c0836a38256e0aa68541b1a8f7d5056b25a66073572cadfa4e8
50,1276.86682618,65.59614383,140,5,17.65884066,1.36495418,5.08168076,d3c726bb7095dee81bb748fbf21a2e43d55a27c2a4551a6f28a60598425638bd
51,1283.35489124,60.79240804,141,5,17.87613557,1.38059776,5.1074673,2472f6adf16a6550d9784b803ca2d53fef97ec9850c7df0d5b23905187e383ca
52,1289.88466119,55.96618557,142,5,18.09530397,1.39635039,5.13341956,33e67d741629af64c2a6ff5da50259538028c7c536bfb135030aa7c35b3ed531
53,1296.45641248,51.11733371,143,5,18.31636219,1.41221265,5.15953864,bd2a3403981cc7ba7387264cd7969466d875594ca30b551c49afb0c1c18b881c
54,1303.07042324,46.24570878,144,5,18.5393267,1.42818511,5.18582565,4a414a39d0877ba0fa3c5e284ff5a393aaddccc9613600af66a2ff0dfb140f2c
55,1309.72697327,41.35116612,145,5,18.76421409,1.44426834,5.21228169,3b8a032bdcb82ec66987256104f1fe5df7388d5d79423a1dbd5099ecd4729f76
56,1316.42634407,36.43356007,146,5,18.99104111,1.46046291,5.23890789,9a44b3abc6472943d3c7912851aa9176018c07fe63cfe2a958c51d53c3e9ff4c
57,1323.16881883,31.49274395,147,5,19.21982462,1.47676938,5.26570538,858e8d9b73a4a6b25bcda42133e558e834dc839ca466603f0c4c148feb09b5a0
58,1329.95468243,26.5285701,148,5,19.45058164,1.49318832,5.29267528,2335440c33c63aa2b8cc3b949208b39850d514c8aa645471cf8e0819bea2d5d0
59,1336.78422144,21.54088983,149,5,19.6833293,1.50972028,5.31981873,82b17efbbd70afbad9b5c50601710178ee4c22ce3c750571e8cf93f852520d17
60,1343.65772415,16.52955342,150,5,19.9180849,1.52636582,5.34713689,a4aecf5bf15bee6135f8d5e3c15040c3433639a0b6d4bd7e3280815f78b0d064
61,1350.57548057,11.49441013,152,5,20.15486586,1.54312552,5.3746309,ed9eed760535654bcf58cbce65c16da8da3f367561ea77a682df47e14e260057
62,1357.54811352,6.43758104,154,5,20.5287473,1.57033103,5.40230192,fd23337004d6afc765037812e0fedd2fec0e1c1cd5c5af6530fc62c79a1592ff
63,1364.57605538,1.35889346,156,5,20.90624095,1.59774941,5.43019245,81814afbc7090ef9db1b20e2a9f67409362faa282ac54d351a434a39557a927e
64,1367.91791512,0.0,158,5,21.28738646,1.6253822,1.71647754,b2eab832a7a7e4121ec4d2f479b8d0e72ca480f72e74138d99ba49434cb8653b
65,1369.93034144,0.0,160,5,21.61310306,1.64952977,0.36289655,16eb633f6ab9403e27e1ea4ccf0a0a5a35dc8eba3e75b7669ecfc90df73b0975
66,1371.97070144,0.0,162,5,21.91888546,1.67242623,0.36793377,4ee003940446342d5e3e2ba40d5e1b4a3b8848474827ac3e26c9660549de68fe
67,1374.03908956,0.0,164,5,22.22592536,1.6954001,0.37298802,4a9da302b371f58d61d4eceb5ce19b7c9117d80e7c487c5f95a1ade5124f4500
68,1376.13560151,0.0,166,5,22.53424107,1.71845242,0.37805953,11086354d1049379b7a586e0e3a6a51d985f846e838bee468bfacfad69198bda
69,1378.26033426,0.0,168,5,22.84385099,1.74158422,0.38314853,f74c099fce49fb1cdc78bacc85ba898bed9a6bd077ad076b138fc78bc3ea69c7
70,1380.41338608,0.0,170,5,23.15477362,1.76479657,0.38825525,efac629f64e97d3cca791a893ffcc8827fccbb8e4a50e3dbe8e07913518bb81e
71,1382.59485648,0.0,172,5,23.46702756,1.78809049,0.39337991,020b379b2455e622711f6b6adfb965f30e388efe5ab001a15e199fc499eb15e5
72,1384.80484628,0.0,174,5,23.78063153,1.81146705,0.39852275,bac4fc7d19659388032cc78418f654f2e7f87288ec159fecc363648e444ba1ad
73,1387.04345757,0.0,176,5,24.09560433,1.83492729,0.403684,f4f0746a8410ab9aeed39a5635d966452ecde2904292a72af408e043e1447a93
74,1389.31079375,0.0,178,5,24.41196485,1.85847228,0.4088639,a389cc7e389f1f9d28a3c49063fa2bac2221a9a02ce4cf9f3255d475624464f7
75,1391.60695947,0.0,180,5,24.72973213,1.88210305,0.41406267,63d5bd4a4db1d4ead7c7a527c452144648f4254d23dc8607aa774e6ef88ebb7b
76,1393.93206071,0.0,182,5,25.04892527,1.90582069,0.41928055,3dce898ba20f95f5e25d22041d92300620d90d8c0b6cbe28b2d171b155af880f
77,1396.28620472,0.0,184,5,25.3695635,1.92962624,0.42451777,56607c1d2599a4e22bd362396cd9f3fe060be921a541b757a21e2ebc746be1e6
78,1398.66950005,0.0,186,5,25.69166617,1.95352076,0.42977457,dec6ece586205e57fad57398c558cab977e9d5e160fd52231392a7de68b1c75e
79,1401.08205656,0.0,188,5,26.0152527,1.97750534,0.43505117,31fe0d78144c14b8bb5598f908e11f9230b9e657aa65e96ad5d242f86876bc45
80,1403.5239854,0.0,190,5,26.34034266,2.00158102,0.44034782,d5f8b389776479758f9f8042696145c9aba4b8ac1b8d1e7031b77a8a6996a282
81,1405.99539906,0.0,192,5,26.66695572,2.0257489,0.44566476,2a9ef60d00a4ffd2843301180155a127a63aa22b028863d0fc732645844c2a8d
82,1408.49641128,0.0,194,5,26.99511166,2.05001002,0.4510022,e2588d751181cef7291eaa1a33005c876ae4c20b41ac070f44a0f3fb25ceb161
83,1411.02713717,0.0,196,5,27.32483038,2.07436548,0.45636041,54d668d13630bbc55a665e0ce042af294e555477c50098c4a804fe1f99dc8485
84,1413.5876931,0.0,198,5,27.65613189,2.09881634,0.46173959,f83d508a87aed8bd728476f355cd9ab5c065c7558d6efef99e91e6d26fafa93a
85,1416.17819681,0.0,200,5,27.98903632,2.1233637,0.46714001,2f3845011fc20df0c6ad7b1ed4c0d27062d14e1462685a717723f5b3f3d2e4bf
86,1418.79876733,0.0,202,5,28.32356394,2.14800862,0.4725619,3eda0ee762f2f66c074e084753393b37de76c67b348de54a9440a317636c43b2
87,1421.449525,0.0,204,5,28.6597351,2.17275219,0.47800548,4021cae371dba7b048e73d3b782165dcfd3e38c81cfed9aca9fec52ed39054c5
88,1424.13059151,0.0,206,5,28.99757031,2.1975955,0.48347101,db124d3ef4b65cbc8478e6965631c65b4e1a47751aaed79ca490f2ce279dae4a
89,1426.84208987,0.0,208,5,29.33709019,2.22253964,0.48895872,dc8f71dacdd49b2e7782207c1a584aeb21bc01d3cc9630cebb0d19ea2158211f
90,1429.58414442,0.0,210,5,29.67831547,2.2475857,0.49446885,a15845450877d75d84e964af9c7b838258a4d57955c8899d58c84d4d46b4583e
91,1432.35688083,0.0,212,5,30.02126703,2.27273476,0.50000165,23a9b25af5f2edde6755d2e99e7052612a81a73c05ebb63dfcc4b2673356b20f
92,1435.1604261,0.0,214,5,30.36596587,2.29798793,0.50555734,2f618b23b478ab56a40adc202a2bbcaf6567545b4531c28af5397eb62a017afd
93,1437.99490857,0.0,216,5,30.71243312,2.32334629,0.51113618,c8166dffc5d5470f738ff6ff0562f9024b4e5d080742a74adcc0a3aa577a4b40
94,1440.86045794,0.0,218,5,31.06069003,2.34881096,0.51673841,c23aa1cf96d530a55688699d9c371da6dbe408f3d9eee1cd4fc366e0692dbd9d
95,1443.75720524,0.0,220,5,31.41075798,2.37438303,0.52236427,edb152543a73b97f065b311eebf342fb409eb63cdef61a941fc6e794afad5482
