epoch,supply,reserve_balance,participants,validators,raw_delta_c,effective_delta_c,reproduction_applied,state_hash
111,1317.47573638,35.78932008,83,5,10.90808471,0.62020893,2.62845415,adf7915cb1ff283dc135dfe0330f5d6a34eefa066168bf1d0b4c22d430bbccde
112,1320.73207464,33.26621823,83,5,10.93504861,0.62138679,2.63495147,18d9875eef96f12a6e7471f86ff8d0d63f77d4473d8a83938009552bfc5ecfb9
113,1323.99610447,30.7368159,83,5,10.96207622,0.62256568,2.64146415,f07b76971dfa6672aa72eea1e64889021c09263bccf9a69ee3f8a0402664eaa1
114,1327.26784227,28.2010979,83,5,10.98916767,0.62374559,2.64799221,24e887b7a8a6d8fb33e7e3fbc84f39627064100b74b421259407ceadb46a0246
115,1330.54730445,25.65904899,83,5,11.01632309,0.6249265,2.65453568,0b25b930e78056d52f22dcfd20c997940c8731fc9ec7cd9630c65669b6ddb9f8
116,1333.83450749,23.1106539,83,5,11.04354263,0.62610843,2.66109461,c8a8b23097b3752ad6b668971fcb8324e09edaadb42e0613344e24ecffa3dce5
117,1337.12946785,20.55589733,83,5,11.07082641,0.62729135,2.66766901,0b6babf9215134356276fba1c14f08f1e95a79f52d40a6aa95f864435b10b868
118,1340.43220205,17.99476394,83,5,11.09817458,0.62847526,2.67425894,6eba93294dc4c77aac445339f84ff87bc650ac9eff33a6249cd0ce0a880a6e74
119,1343.74272661,15.42723837,83,5,11.12558728,0.62966016,2.6808644,ea82f428b837bed44372ca656bd9daf46dc4ce2f1f2ae6b2c07bbc3cba05cbfb
120,1347.06105809,12.85330521,83,5,11.15306463,0.63084603,2.68748545,812d20a124c2712b3fc8e4e4157ff76e7decdd9d307554a9fe6e8afe24b1b459
121,1350.38721308,10.27294901,83,5,11.18060678,0.63203287,2.69412212,2ba2ff3cfb1a270c29f2af7228b35c4128cd0f85ead43473173c048c8d087963
122,1353.72120819,7.6861543,83,5,11.20821387,0.63322068,2.70077443,fc4490e6a1e05fb1b3fb3a033e65a4ef7b196189f5840f24fc4039ed094f0394
123,1357.06306006,5.09290558,83,5,11.23588603,0.63440945,2.70744242,c9aefae98bd26a6327669497b438fd52ac4a67baca0b42d18413a2e9efed6d1b
124,1360.41278535,2.49318731,83,5,11.2636234,0.63559917,2.71412612,14e375470aff263a7fb4526dade315f2712584aab7959e979f6b41fbe62834b1
125,1363.65738465,0.0,83,5,11.29142612,0.63678982,2.60780948,2f4b66e720032a4bad9a640c1365c0294ac6da748dd47a68a70144b1168955b2
126,1364.41015543,0.0,83,5,11.31835629,0.63794134,0.11482944,95b86722acd4e4ddefc269967eed7918d4ab49635a5fcaaf2085e4118b84f856
127,1365.16324117,0.0,83,5,11.32460429,0.63820825,0.11487749,ab0f71935773573ecdb02868ece35b4db03424cdf4e71b7667eb64072048a3dc
128,1365.91664188,0.0,83,5,11.3308549,0.63847518,0.11492553,defadcccedff75e92932ab1094a942c366c24c63789cfe5ca61c5e114560bdc2
129,1366.67035758,0.0,83,5,11.33710813,0.63874212,0.11497358,ab6070208103e05a6d176117e52ebeb4ea0877278f5a7f6a3511a949cb54e15f
130,1367.42438829,0.0,83,5,11.34336397,0.63900908,0.11502163,1ecd173422f208266a44e191fa53b602457768f6189dbd4f805f68a96f0d0657
131,1368.17873404,0.0,83,5,11.34962242,0.63927606,0.11506969,548e11bac5d48c44fda5919318c11b03ca4e0a92b6ce71acaedfa88580d6beb2
132,1368.93339485,0.0,83,5,11.35588349,0.63954306,0.11511775,c31ecbd3d483c8f30f3f69fb3c2730fd44a45b7ab5618a3a66caa05e61f09e95
133,1369.68837074,0.0,83,5,11.36214718,0.63981008,0.11516581,be5547defa7a69567902de28cd8b48f3a2cdc50de668d661f9277b92d334fb7e
134,1370.44366173,0.0,83,5,11.36841348,0.64007711,0.11521388,043ae1683040de723177c059b80a10b01c31c83f5829d0459f55255e469814f6
135,1371.19926783,0.0,83,5,11.37468239,0.64034415,0.11526195,0ad6cd5c8dcb606a2892d64045424bd134c730eec9cc65ba26d07c32d0d07138
136,1371.95518907,0.0,83,5,11.38095392,0.64061122,0.11531002,4580039fc4feba435e7565746c8b10a4af13cf9d766af45aa3815f6437764d1f
137,1372.71142546,0.0,83,5,11.38722807,0.6408783,0.11535809,c8171a10c49ec05274495663883892ae4fcc21f38ae9b50bca48c2908826fa0a
138,1373.46797703,0.0,83,5,11.39350483,0.6411454,0.11540617,24920d73e4342f55bfcbe8628db12d07a16e5a7dd446a5224142ff77b69ef396
139,1374.22484379,0.0,83,5,11.39978421,0.64141251,0.11545425,3784cc332e2ccef789ae4a548836e257db5f41ecc96c4bcec804e1b9a455fb1f
140,1374.98202577,0.0,83,5,11.4060662,0.64167964,0.11550234,996d7aeb6bffa431226a33d6405c941ff07c198d2eff0ca9ef21af2929584f65
141,1375.73952297,0.0,83,5,11.41235081,0.64194678,0.11555042,d8d0f1527a52cd3a4bfa79ba4594fef5cf87346e2233ebd954bae650598774f5
142,1376.49733543,0.0,83,5,11.41863804,0.64221395,0.11559851,eda9c1c10ab7404f3eef60080ad60bfe225433641d0a2bfb2e161fe77cdb44b9
143,1377.25546315,0.0,83,5,11.42492788,0.64248112,0.1156466,571ce66d3c7c4d3926df2199b56a0cc7fdaf4d5d4c132223f24f1c5a6fa30b2e
144,1378.01390617,0.0,83,5,11.43122034,0.64274832,0.1156947,6dfbf144d6868c6523b978c034066b9ec67d626c3648390dfc29af7327aad100
145,1378.7726645,0.0,83,5,11.43751542,0.64301553,0.1157428,8bed8fd3a9875cbb2bcdaf44189e9e2c7001a4fd5ca4538e5c0c68ffad4579c7
146,1379.53173815,0.0,83,5,11.44381312,0.64328275,0.1157909,3902ee98bc60a032a1f949a623cfb8d0b0bbab4e91a71ef486be4e2b3ee0bb92
147,1380.29112714,0.0,83,5,11.45011343,0.64354999,0.115839,718a2ffb71618a60293604cd09796702f6d41ed4832c209fd3618c23a02ffb0a
148,1381.05083149,0.0,83,5,11.45641636,0.64381725,0.1158871,844f6bad0b5a50d9789fef679d25d53253f3457f5f6af5fce67258c880b0b389
149,1381.81085122,0.0,83,5,11.4627219,0.64408452,0.11593521,760c4200e36a7e8fa8d86a1b7e705bdf1d86e1d1251b4b948fbc226e4b75b1aa
150,1382.57118634,0.0,83,5,11.46903007,0.6443518,0.11598332,faaf896c12acf39f5221c5079269185d04d289aa32287daff7473817ecdf40c1
151,1383.33183688,0.0,83,5,11.47534085,0.6446191,0.11603144,057069040a6d87b0545d9697955d152a62614018a8c53c76898d95a98afacbf3
152,1384.09280286,0.0,83,5,11.48165425,0.64488642,0.11607956,7a2ae023b415a08795a9d8ebf4081d5036ae9b161188c7d74a78ddfa0a8fac25
153,1384.85408428,0.0,83,5,11.48797026,0.64515375,0.11612767,6a22d28955d7181bb3235c6c5498db3c5f43433ca7930b214045b673fe9d31c9
154,1385.61568117,0.0,83,5,11.4942889,0.64542109,0.1161758,2a92adb130644cba801afa4bb208aaf2d895e15e481a7218848b5a10ac1776c1
155,1386.37759354,0.0,83,5,11.50061015,0.64568845,0.11622392,6d8f00edbb9cfa25df17b115c6ce7c298ffb85bc0a4fee62e39048b5ad2620bd
156,1387.13982142,0.0,83,5,11.50693403,0.64595583,0.11627205,030e6f18410932f67900e6861cbd65593776ba50093adaa5fc890d1fce0b44e4
157,1387.90236481,0.0,83,5,11.51326052,0.64622321,0.11632018,4ca3af85f8b8fd5e9a3630dd9d21937d2aa7f275307725109dbd49480f52e16e
158,1388.66522374,0.0,83,5,11.51958963,0.64649062,0.11636831,0fdd4e470e47bc074feee3bde308d1d94b7a2c2b132ea84fcc5063af4dac83af
159,1389.42839822,0.0,83,5,11.52592136,0.64675803,0.11641645,e1a878d08d4e70c6d36bbcbb27de73ddb8121a99fbfd50a182f87e7bc369e45c
160,1390.19188826,0.0,83,5,11.53225571,0.64702546,0.11646458,06110ab1ed26e7d9fbdd2602580e2cfae21c17950e0d5b2dde2bf6a038d40bb7
161,1390.95569389,0.0,83,5,11.53859267,0.64729291,0.11651272,e32aa323bce60347336ee054ddb23f6c4271f75f587ab76db6d66f3d5dcf533f
162,1391.71981513,0.0,83,5,11.54493226,0.64756037,0.11656087,00e7d9abc05d688c0b1ebba98461118039cd98f80b109879e73bb54d2c313605
163,1392.48425198,0.0,83,5,11.55127447,0.64782784,0.11660901,fd4c6ddf26960435de359651683de953b12f3cf4a7dce428bd141b68e6f4dc29
164,1393.24900446,0.0,83,5,11.55761929,0.64809532,0.11665716,55ebe8c53dc16a47180aea6bd23b55c4d6df9dd32afeb98a3801cf119d51f75a
165,1394.01407259,0.0,83,5,11.56396674,0.64836282,0.11670531,160cab2dcfe4320b760611ce17a1e3c7c92e460b7f5d709708ba6aa185b6da01
