epoch,supply,reserve_balance,participants,validators,raw_delta_c,effective_delta_c,reproduction_applied,state_hash
264,1321.06023093,0.0,20,5,2.64156065,0.23325317,0.04665063,f7db44a4fb2ab19f5a989af394b7c918a120b17223539e1891958bb106844886
265,1321.34017275,0.0,20,5,2.64212046,0.23328485,0.04665697,ef2519ca341dcc120b75a1f84ec7100ce3336de973936416f0397b1047394015
266,1321.62015259,0.0,20,5,2.64268035,0.23331653,0.04666331,ac1b94a622d075ec4477f7620d7143392414cb015479bca353a9d4c46af4d7cc
267,1321.90017044,0.0,20,5,2.64324031,0.23334821,0.04666964,af8babb993c882576515ac0ade3cd481b2f900e4a3c6a1d50418884a5ee556c0
268,1322.1802263,0.0,20,5,2.64380034,0.23337988,0.04667598,a26af44b89ab9c40cc88028d406e90dde76728b8b9334d398fd1a72d3fa6720d
269,1322.46032016,0.0,20,5,2.64436045,0.23341155,0.04668231,92d6a01f64065879390cd5ef821d89ca8684cac27caaffb86a3bcbadb8be9ffa
270,1322.74045201,0.0,20,5,2.64492064,0.23344321,0.04668864,e4739642cdd0846ba030d0e3d65f0525c9a25d16a0185464729b54ffdb6c5181
271,1323.02062187,0.0,20,5,2.6454809,0.23347488,0.04669498,a3efbd8d20ba6023e5963444016315074c7a09f664a6e001ad3772d3777d0b84
272,1323.30082972,0.0,20,5,2.64604124,0.23350654,0.04670131,c788de1f97d48520ef5497aaeb84a8393054218973a3f88ec99aa28ca99cff22
273,1323.58107556,0.0,20,5,2.64660166,0.2335382,0.04670764,9feaf1e9fad2a893b1fb3eb35a8391e6decf9450326ca6a9f68c7c27c1e5469d
274,1323.86135938,0.0,20,5,2.64716215,0.23356985,0.04671397,dd35bfa0a680b468f3bfd8e9ed8433f5b938647889d9bbe9909f635bbaaddfcf
275,1324.14168118,0.0,20,5,2.64772272,0.2336015,0.0467203,40c5a9d9335037fd0c2f2b0335cb72a111b74f389dfec5e40171cf9c3a994281
276,1324.42204096,0.0,20,5,2.64828336,0.23363315,0.04672663,c856e2cb349f1564d5e8a1283bcbadfcfbef5d3059de3050d47840cb84f7bd0e
277,1324.70243871,0.0,20,5,2.64884408,0.23366479,0.04673296,6763ce5ea2abc1f1f36f7e177fbd484af6b1415fa16c4e1aa47b4e25259cfa6a
278,1324.98287443,0.0,20,5,2.64940488,0.23369643,0.04673929,c58f4e1dfa4e295389799f8685985800245bb9d53c5db644cd542220746877cc
279,1325.26334811,0.0,20,5,2.64996575,0.23372807,0.04674561,d3c0295d6560df03b797fc80c1da66ded874ba65e01d498b29d89d229735c4b8
280,1325.54385975,0.0,20,5,2.6505267,0.2337597,0.04675194,e7ce1c3d4dfd58284ed48d3512a0ef0f388b8cf6b2a380647b69098b8f655644
281,1325.82440935,0.0,20,5,2.65108772,0.23379133,0.04675827,10e63c9adad44fdcd5e22d33155bfed7c557a0dabc49f1fb0555f1bd2b81bf72
282,1326.1049969,0.0,20,5,2.65164882,0.23382296,0.04676459,5aa1280054103a8f3ef2b6e5b8c2b4c467bc79e33ea58f52ce60a007e1db2db0
283,1326.3856224,0.0,20,5,2.65220999,0.23385458,0.04677092,cad119c95fb4eacfd643d592b816c80ae8569c974cd141d2a68cbf9f989e06a7
284,1326.66628585,0.0,20,5,2.65277124,0.23388621,0.04677724,babb6d49d5f7bebde56dda05ea93bcfc72e6b6ad2e48a3af92a7a9dd8fdaf42d
285,1326.94698723,0.0,20,5,2.65333257,0.23391782,0.04678356,b6855810843af68d6594ca808709511c65bee83d663aa1c9cba68a09929989a1
286,1327.22772656,0.0,20,5,2.65389397,0.23394944,0.04678989,aa579a3ba2e6003bcc50f074145b271fb64e1178149d43c69d3852df3302b5a9
287,1327.50850382,0.0,20,5,2.65445545,0.23398105,0.04679621,235ca4bb0408b175fbcffeaa364e71b803b13d948768d5e791a623c9578ded99
288,1327.78931901,0.0,20,5,2.65501701,0.23401266,0.04680253,231e69acd34396a05ef246c63153af8deb9a09c5488d1df5765f4f69c65a2f00
289,1328.07017212,0.0,20,5,2.65557864,0.23404426,0.04680885,8e48c29d963c9c4de4f3a6b78618a801e4012e21022d923443c9bd0c7d74542f
290,1328.35106315,0.0,20,5,2.65614034,0.23407586,0.04681517,39aa8f1b011285c2043ebc1d70be3bd86039f7d81d02aba3ee2ff0d9f354d764
291,1328.6319921,0.0,20,5,2.65670213,0.23410746,0.04682149,db5e96fa4db66eb9487ea718cce4be63a31b4deee158d662c24d97dd0c4d98be
292,1328.91295897,0.0,20,5,2.65726398,0.23413906,0.04682781,db62826128c7617e0b88f62519bfcc084d02ae45239b70af3868e82ac42e8f5d
293,1329.19396375,0.0,20,5,2.65782592,0.23417065,0.04683413,5c92c5ec6a2e0a23f97dec72ce783ffd941698c20be1d545567c5df4fcde2720
