epoch,supply,reserve_balance,participants,validators,raw_delta_c,effective_delta_c,reproduction_applied,state_hash
268,1715.12150256,0.0,100,5,17.13346764,1.41979105,0.35494776,bd8585014391cb9080421a40b73ba9bd3d5c1e2384a137f63d69ed28d8ebd6a1
269,1716.89769922,0.0,100,5,17.15121503,1.42095733,0.35523933,5f8ccd1d17b1b497f25a4d0b1314263dc6bcafd329770e7082ac2bb28438794b
270,1718.67535413,0.0,100,5,17.16897699,1.42212393,0.35553098,af21f7e793acb859790ca7ee9674c18653b117c141bd292779291516d52bb970
271,1720.45446771,0.0,100,5,17.18675354,1.42329086,0.35582272,2f57b84f227d8c7ff0777767732e15489005f88698233ab1d2d183ca3484af52
272,1722.23504035,0.0,100,5,17.20454468,1.42445811,0.35611453,c85f53b3ff7f4e48d1bcdf17d1e281bd1acf40afb7b4d8e23e4a83beae056d8a
273,1724.01707246,0.0,100,5,17.2223504,1.42562569,0.35640642,ec8a80e32691fc171fe943d8daaa7acc15d8d910808482cd32ac3031768192ff
274,1725.80056445,0.0,100,5,17.24017072,1.42679359,0.3566984,fc41fd6d9798d3e1ad6f808f7d422dfde7ac386718aec2e770de35eb48600777
275,1727.58551671,0.0,100,5,17.25800564,1.42796181,0.35699045,3d6848d06715d0fda397e1020ef0433f528a50def5430c06b0a8d16294d2b345
276,1729.37192965,0.0,100,5,17.27585517,1.42913035,0.35728259,2ba2664d185da3299079ff67cff8015d1fa554802777c7a6c926a71c64cb6bfa
277,1731.15980365,0.0,100,5,17.2937193,1.4302992,0.3575748,3d19fd7eb7cf46da460e1747e7084427048caebb640ae673b0ed3e9fcd3a826d
278,1732.94913913,0.0,100,5,17.31159804,1.43146838,0.3578671,dc9e80c9f049cdcfbdd4578fa8245b591963a83d85ec5d7a51e7af4c6f3ed89d
279,1734.73993647,0.0,100,5,17.32949139,1.43263787,0.35815947,76910d8bc58e8c4b6df4cee51a54428d705e817418e7db94825b1070406353ba
280,1736.53219606,0.0,100,5,17.34739936,1.43380767,0.35845192,bed9463ac30b5c0c782ed076e2730a037fcd8da49b7bbb6dee8c2b683afcb719
281,1738.3259183,0.0,100,5,17.36532196,1.43497779,0.35874445,3c59953fb0e47fe81747f97ae648632770906336a3d55d4d486cc57764ec07f8
282,1740.12110357,0.0,100,5,17.38325918,1.43614822,0.35903705,da130ef694c7f49072d50a31c1fc31084a5ec72795405cfb63f9f5cb960cc8f4
283,1741.91775227,0.0,100,5,17.40121104,1.43731896,0.35932974,b8ebb78272ea802ff4d806bd89cfbfc328dc425148b973d5cc0f856061888777
284,1743.71586478,0.0,100,5,17.41917752,1.43849001,0.3596225,8a981ff6b05735b5e5214b448b21e04bf3447cd6599096cbcdac74eb76d13102
285,1745.51544148,0.0,100,5,17.43715865,1.43966136,0.35991534,1ca3f567f5817c9f383e91848747a197c1b2db8a82eaafbb91a4a03200c4341f
286,1747.31648277,0.0,100,5,17.45515441,1.44083303,0.36020826,783055146eeaba33b65f172f6708da779517c361211f5fd2e78059117f892477
287,1749.11898901,0.0,100,5,17.47316483,1.44200499,0.36050125,a0375b7b04f6cd17a15c74eb59963544e93c62fcee149faa380bc9dc31b3e6d6
288,1750.9229606,0.0,100,5,17.49118989,1.44317727,0.36079432,161460e06f83e953eb1fcf925202ebd9f26a2b8a239e627187ad0d4e6308b60d
289,1752.7283979,0.0,100,5,17.50922961,1.44434984,0.36108746,c4c4e7304f916cec315bdb105a6fb6413e68861f08406174c0f0fa91fde2ad7c
290,1754.53530129,0.0,100,5,17.52728398,1.44552271,0.36138068,92376fdf5b807c063e89fec23e240aed6eab4d86fbf224deb8ef46ed2b3ee717
291,1756.34367115,0.0,100,5,17.54535301,1.44669589,0.36167397,c962391f8dc31a0b4156a03d9545e607a0a4c4a46868806e3f85f3b8af42a3a9
292,1758.15350785,0.0,100,5,17.56343671,1.44786936,0.36196734,f0c9cf8063d08322c3337b5acbbd42a79d44f216e3fe35c54d5eb7bc62c315f3
293,1759.96481176,0.0,100,5,17.58153508,1.44904313,0.36226078,db23d5006ef943a08cbd04e3064d4dd78d3b6af8f3aededea4513996ea4e1c8b
294,1761.77758326,0.0,100,5,17.59964812,1.4502172,0.3625543,4dc3a70aef6c6cf32d28790370634f7290c08e688e504677deec235265a8dd1f
295,1763.59182271,0.0,100,5,17.61777583,1.45139156,0.36284789,3ad3bb20cc570dcd19c534ab96152a8893b80a4abcf38402a827e68b26742bae
296,1765.40753047,0.0,100,5,17.63591823,1.45256621,0.36314155,fbded07e4e35afd2a6d788141c52c20753c52ce323702defcbbfbea4ee402b4f
297,1767.22470692,0.0,100,5,17.6540753,1.45374116,0.36343529,e863f0a0f3591e9247f0542030b15e9cee53fda2e0828fdb592e0a5461406d48
298,1769.04335241,0.0,100,5,17.67224707,1.45491639,0.3637291,2b50581d5d02e19d9b2061619b07ef43f32d4054f30d682669725c63ed6eb46c
299,1770.8634673,0.0,100,5,17.69043352,1.45609191,0.36402298,bb87acc4e325fd2a02df192dda65d4c78a20f1a2396a3f0d1ef4bf9285e887da
300,1772.68505196,0.0,100,5,17.70863467,1.45726773,0.36431693,ab350e5de5b6be0173dada7fe1a55e195ec5077170dc1c2973bc2b9f6376fd13
