epoch,supply,reserve_balance,participants,validators,raw_delta_c,effective_delta_c,reproduction_applied,state_hash
217,1731.60632003,0.0,120,5,20.75284597,1.77620084,0.4262882,bdc0ea25f84d80e076bbdca5f55de9d8635ccbaa0033398d0b1c762b1d653eec
218,1733.81114114,0.0,120,5,20.77927584,1.77808154,0.42673957,ac0320d6447b742c1f24a554b86fad27c83f74d46d1e096d102c841b0c134f13
219,1736.01829558,0.0,120,5,20.80573369,1.77996326,0.42719118,d3830650fd0776944781ac58665956362a6406e43bdd61b63a0dd6a10a91ce49
220,1738.22778462,0.0,120,5,20.83221955,1.781846,0.42764304,c8241adcdffe557207c6f935bc23b450313c7e9840d0719627f0443131b7dff1
221,1740.43960952,0.0,120,5,20.85873342,1.78372976,0.42809514,c6c2d8bfe59ba6fc3fae9a236e9b054f83718ef7dbd55603968e0a8ea383e6c9
222,1742.65377154,0.0,120,5,20.88527531,1.78561453,0.42854749,32dd47230bb16d73879cc2134416b2c37a1069507c56d79ddce2ee3752411b6d
223,1744.87027192,0.0,120,5,20.91184526,1.78750031,0.42900007,a440e01d6a0ca2b3ec9b8347ab035257b17a4befd65c1193977c1ae504a54f1d
224,1747.08911192,0.0,120,5,20.93844326,1.7893871,0.4294529,f8e6cc6491a9924910adff64fd4a1368c08613cf89e29ff102ac04669c60fccc
225,1749.3102928,0.0,120,5,20.96506934,1.7912749,0.42990598,84a7c633250e37508756fcae75b08cad963ed72a77675e4196e3a71b32eda22e
226,1751.53381579,0.0,120,5,20.99172351,1.7931637,0.43035929,a5f906aeac8bf42f54d1b63e306c8a9024edbe8ae1d7f48a3e1c2442d2e83412
227,1753.75968214,0.0,120,5,21.01840579,1.79505351,0.43081284,2b6ac4266a8476c36b7acbaae569c8adc890949eec5312bd48de365740d22f7b
228,1755.9878931,0.0,120,5,21.04511619,1.79694432,0.43126664,3670c61664583de4b3a4cf53e88b83ede8f542c01988938e5ed26a00e5fb81ee
229,1758.21844989,0.0,120,5,21.07185472,1.79883612,0.43172067,6f1baf649c4adc9ded01cf996cc00c8cf6b8fe676af85b823ce0c49a21bf62ab
230,1760.45135376,0.0,120,5,21.0986214,1.80072893,0.43217494,2a4c3308e71243a77506b760c3f826f03e01588f0c45489bca23c1290b84bcc4
231,1762.68660595,0.0,120,5,21.12541625,1.80262273,0.43262946,91c2d04b832a5c3499fac0858a747140dc7a4b83718812828476dec6b8913cc9
232,1764.92420767,0.0,120,5,21.15223927,1.80451752,0.4330842,758b0c773b41884cb10a8c96a37c00b6819b4823d4f677375dfa999dfc50d080
233,1767.16416016,0.0,120,5,21.17909049,1.8064133,0.43353919,ad61be046e34fbc8e60cbbe79a1c80126bc3ae9ef93083d65669819c298f2f02
234,1769.40646466,0.0,120,5,21.20596992,1.80831008,0.43399442,fe8428e2adc49662754933b4c205237eea13cb0d9d0da1101c87e6fe9ebffce9
235,1771.65112237,0.0,120,5,21.23287758,1.81020783,0.43444988,8b59bf72b3ba3455b88ea3c1a1229a87a718fbf062dd042f9f1cefcc39cdd0b6
236,1773.89813453,0.0,120,5,21.25981347,1.81210658,0.43490558,918b9066093f40caee8cf7fade783099cc6e10322638ef724188b4f60024a3f3
237,1776.14750234,0.0,120,5,21.28677761,1.8140063,0.43536151,35d5bbbd3231fcc132e5a44f66489ed2992b957aaebc1336635606657ed1230a
238,1778.39922703,0.0,120,5,21.31377003,1.81590701,0.43581768,be3fe465733f5cdda46359f28d409ff51abf6c99e742d76f3c9f4051d28c597a
239,1780.65330981,0.0,120,5,21.34079072,1.81780869,0.43627409,2ca9f5524852d7606a2edf2a47eb22a8b1401b3b0cdfd32354c5281dc47331e1
240,1782.90975188,0.0,120,5,21.36783972,1.81971135,0.43673072,b9e78da19c0f5559ca4850ca75dfa7089c93a1bbadcc041f41ca2b84af1797e3
241,1785.16855446,0.0,120,5,21.39491702,1.82161498,0.4371876,415001560efb7e8ce2c8e068c24d5ce941adfbc2572d5d466bd1904bc7451af8
242,1787.42971875,0.0,120,5,21.42202265,1.82351959,0.4376447,2c5d81f3518541b900ecd691af03743b9d962e8f9bc9e2546a020a164ae73b97
243,1789.69324595,0.0,120,5,21.44915662,1.82542516,0.43810204,646bab1c7e81391d11e15b21b67f8299ea7fe94acbbceb865fe317cf12e0a064
244,1791.95913726,0.0,120,5,21.47631895,1.8273317,0.43855961,f33886e6799a9e0026c3313ff3c3c89c941f4b06496183ecc155447cf8561f7f
245,1794.22739388,0.0,120,5,21.50350965,1.82923921,0.43901741,fca6e1ccb5055c338ce139b83aaa48d52a786d0ee1640a638da902e98f6315eb
246,1796.498017,0.0,120,5,21.53072873,1.83114768,0.43947544,2bed2186a9a1c45fa3611b5eaa096ed44dd41bcfe668ab7747c0d056d23111ce
247,1798.77100782,0.0,120,5,21.5579762,1.83305711,0.43993371,2bf16770a83e8c05853219a99a4742cc59cbf356a5bbbcef608a06b63edcb896
248,1801.04636752,0.0,120,5,21.58525209,1.8349675,0.4403922,0eb8bc5e4f07ed130b1f5f8239278968bd6a7462d9b126ae01e0ca370f3aed3e
249,1803.32409728,0.0,120,5,21.61255641,1.83687884,0.44085092,2dff530c3c00ad9f030df0c9dabde26b5c021799d30e1b82553e041e66520a00
250,1805.60419829,0.0,120,5,21.63988917,1.83879114,0.44130987,22fbb08644b6c2593c7af2e148e6c220e3afadc86d91a5811f515ec533efbe9a
251,1807.88667173,0.0,120,5,21.66725038,1.84070439,0.44176905,fdde5520644e9e369ad3c70249272c88fa88a3aea13c0ec98247724c2ce58a07
252,1810.17151877,0.0,120,5,21.69464006,1.84261858,0.44222846,dae5571b8a200732b7dcabed9a38c7ca8cace4c76285a4bc2ead163db6100e1c
253,1812.4587406,0.0,120,5,21.72205823,1.84453373,0.4426881,9f97993c5968841377953f33ebef07a7fe72db5e2ce9ee1924e27a01ff98a04d
254,1814.74833838,0.0,120,5,21.74950489,1.84644982,0.44314796,00c473d1051a66400057978501678ef3897c5f93c3f0df733642e740fc5a4284
255,1817.04031327,0.0,120,5,21.77698006,1.84836685,0.44360804,e86ded87438288db68c2613b67b518b6497fe09f7c5c8629989db41112774641
256,1819.33466646,0.0,120,5,21.80448376,1.85028483,0.44406836,c2f41d1890521249194f3de95d54fbaa41fa814e9ba39336b5ea812acf308ad1
257,1821.6313991,0.0,120,5,21.832016,1.85220374,0.4445289,1cff5be3e14f13de99e1ad4a5935dca145cee8fde05844094424b05a3116455d
258,1823.93051234,0.0,120,5,21.85957679,1.85412358,0.44498966,1c8cd381effc8384302e3443b323c4d153543a492e5ae5abd0ec5e4197ddbb4f
259,1826.23200735,0.0,120,5,21.88716615,1.85604436,0.44545065,ef2e7f4a4a2928b3424094f1a236b6047917b0831f398d563d08f4fc77b6a3db
260,1828.53588528,0.0,120,5,21.91478409,1.85796607,0.44591186,6ce8793dee92f47e5911be88df0ab014b301a1d08b4e224d1eb00e37afc6459d
261,1830.84214728,0.0,120,5,21.94243062,1.85988871,0.44637329,1e8b681a66b3d9224061d51310ba2a1eaddfcd1a099308413139ffa098607b95
262,1833.15079451,0.0,120,5,21.97010577,1.86181228,0.44683495,59b0079eb409675443000d5942b86cac5c49facc9a383354059f06f05373fb55
263,1835.4618281,0.0,120,5,21.99780953,1.86373677,0.44729682,92ad6607b4d659903643d5f574317ffadf7f0fe72f93d5bbd6f70321cf17a1ce
264,1837.7752492,0.0,120,5,22.02554194,1.86566218,0.44775892,004fc6ac85b51c0916c19eee0dbe240bd2e6fa09c9ad07b45c1dc902e6d6d041
265,1840.09105895,0.0,120,5,22.05330299,1.86758851,0.44822124,395b92549f0e18df8430f29996250fc4cbcfffe7e1bf5ef75980470958df187b
266,1842.40925849,0.0,120,5,22.08109271,1.86951576,0.44868378,93daf418e78dca30f43ed34ad6f38e156acfc13355d3295941a5801b0d9877b1
267,1844.72984895,0.0,120,5,22.1089111,1.87144392,0.44914654,d5ee0430c01d2fd1f46eea606789ce2cfec7ccf6e5f299d6ac9c84460f9ba07b
268,1847.05283147,0.0,120,5,22.13675819,1.873373,0.44960952,e212d0100812d636bfb57d2a737f136331375b86d235ff9d05432cb8ff509b96
269,1849.37820717,0.0,120,5,22.16463398,1.87530298,0.45007272,303510bebc1bd409bd178d3d0597cc8caf6cfdc9de7fd90654de38c8dc09ea34
270,1851.70597717,0.0,120,5,22.19253849,1.87723387,0.45053613,510401bdf1ad724039695c78ac293c42dd62757dc0dc8ea68b3ec8c939de33e0
271,1854.0361426,0.0,120,5,22.22047173,1.87916567,0.45099976,6ea2285f22c3c8e752b1fcc4ba1f94fae0923f439326ecbbff399806242e4224
272,1856.36870458,0.0,120,5,22.24843371,1.88109837,0.45146361,67f885496ff40375ade8f47ece0fedff916b2e88fb9c33b95dd717af3404c3d7
273,1858.70366422,0.0,120,5,22.27642445,1.88303197,0.45192767,24080db6a04f6b6ded0c39219097141c5b721dfc1f3c7a2b3897cc2061c737e0
274,1861.04102264,0.0,120,5,22.30444397,1.88496647,0.45239195,08f46d60007b7c088cfd1e163e80d56bd845647e7db2e111beb46ee764a4b78a
275,1863.38078095,0.0,120,5,22.33249227,1.88690186,0.45285645,d64c370dde14622470620b95413dddd94ccbb582765b578c61ebeed5f8d17c81
276,1865.72294024,0.0,120,5,22.36056937,1.88883814,0.45332115,d848d9aa137ea05d68540a719eeb7f8815fcc16d46156f8f542a8cc2c7ca53c6
277,1868.06750164,0.0,120,5,22.38867528,1.89077532,0.45378608,5a157b80df6a7674c9b993116b2c6dbae13ae9f8d4436ab1d67f96f21a32ba11
278,1870.41446623,0.0,120,5,22.41681002,1.89271338,0.45425121,188d474e68a2c33b357b1847ea1c320f760a2edbd78dd10b18fa39ff63fd74f5
279,1872.76383512,0.0,120,5,22.44497359,1.89465233,0.45471656,49d1e0b03a3546c8c3f5bf8d3ea41d5b7fe032c8fa723364cb9d38ffd7ed8b26
280,1875.1156094,0.0,120,5,22.47316602,1.89659216,0.45518212,1ba9e288dede6670c241bd9123514c2cc70ca4d7942c66a52f058e7dd8dd072c
281,1877.46979017,0.0,120,5,22.50138731,1.89853288,0.45564789,165735528732c3349ceff7863c6214ed24768fe988cb718ccfad926de46fda06
282,1879.82637851,0.0,120,5,22.52963748,1.90047447,0.45611387,270ea703a68d0463cfd9fa1e20a3a797348190691d4ed13e563eafdfe63d498d
283,1882.1853755,0.0,120,5,22.55791654,1.90241693,0.45658006,2478bbd946487a0ca60fe273b50eb7612f54a0d9586c8eeb27edb1b5bdf7fb6a
284,1884.54678223,0.0,120,5,22.58622451,1.90436027,0.45704646,dc38e9a8917a074a3a7534fcf4a5b29bcfd7aea45ab41eda2f7abb77387c4b1b
285,1886.91059979,0.0,120,5,22.61456139,1.90630448,0.45751308,b160ce4a016ee88e9e8fc20e5ba73dd6e43451532b5faa98edb833655bf9d3a3
286,1889.27682924,0.0,120,5,22.6429272,1.90824956,0.45797989,f3586fb0d3d98d9aad2408247058dcfb681bd4148e636a9c22e873c736a24e07
287,1891.64547166,0.0,120,5,22.67132195,1.9101955,0.45844692,2e8e44b54051aa68a4f7ad74581302f20a4f82346f17903c254bf4e81906056e
288,1894.01652812,0.0,120,5,22.69974566,1.91214231,0.45891415,e544b05c70954d17b6527a5ce55aa27aedd99954c61c4c5525f8b64366e7ce7b
289,1896.38999968,0.0,120,5,22.72819834,1.91408997,0.45938159,9827be1a031ba78171822f18dd35804e777648e321691ba1220cc300fcc5c2fa
290,1898.76588742,0.0,120,5,22.75668,1.9160385,0.45984924,713653462df03fb5984518b66806cf8f1214c801b6767042c4f4c0ecb412cbd5
291,1901.14419239,0.0,120,5,22.78519065,1.91798788,0.46031709,6e127434802878bcf89040572e3e1f275857a7fe9fbad39479aacc02f3118166
292,1903.52491565,0.0,120,5,22.81373031,1.91993811,0.46078515,8eeb362d6c5d8d258b1f8fb2418f1ab137838331614348c333725845f27a7849
293,1905.90805825,0.0,120,5,22.84229899,1.92188919,0.46125341,cae811e215c44c50b3f9476af28f4bf6d9e8260a957f7f0faafb373436234ed0
294,1908.29362124,0.0,120,5,22.8708967,1.92384112,0.46172187,7263f6fe7739f69c5fd09cd405a21c1fa5b850fab77937e3642e82c9d40dda67
295,1910.68160566,0.0,120,5,22.89952345,1.92579389,0.46219053,db1c161c6e6d597f79db0ecd658e862910ee3689a49207afdec6d678d5687722
296,1913.07201257,0.0,120,5,22.92817927,1.92774751,0.4626594,78287d898cfe3b0cf5687182d933f7868e44608f8d8ea364c7390e29d507cac0
297,1915.464843,0.0,120,5,22.95686415,1.92970196,0.46312847,5499472ec7a702d7c57ef23457df90b35f086c641f4212eaa1d9b1aa71da4302
298,1917.860098,0.0,120,5,22.98557812,1.93165726,0.46359774,6d61d275d9386e1a0d7882ce2c983191f2a6c3938fd8854ed748320467a34f04
299,1920.25777859,0.0,120,5,23.01432118,1.93361338,0.46406721,ace0692d6012e3b34da6b961f45bb4ac5b242370b73a256dbc8dc280b175234e
300,1922.65788581,0.0,120,5,23.04309334,1.93557034,0.46453688,23de8a96c7122de2941eda14c0f62f3e9f83e23c0119e18b864e6dfa152055df
301,1925.06042069,0.0,120,5,23.07189463,1.93752813,0.46500675,274224522a9002cc3f5bbf894453d5aa93222ed913b0cbcfbdfe570f772bab14
302,1927.46538425,0.0,120,5,23.10072505,1.93948674,0.46547682,4bafcf7ffe7e8f9334c865bc9205ad5f5042dcbe1f4379dc761e080d6b88763d
303,1929.87277751,0.0,120,5,23.12958461,1.94144618,0.46594708,ab4ce529b10f25e0e93bf5143e4d88f4cf63dab47d3762d187fe6ceb2216b40f
304,1932.2826015,0.0,120,5,23.15847333,1.94340644,0.46641755,33bdc5c9fed3c965b0ab753ca784d68e373e1b321cbdfa685201089e7aa0d371
305,1934.69485722,0.0,120,5,23.18739122,1.94536752,0.4668882,30091dc625a5f3fe92c4f6a0ef5092d2eb7826f944349e77eb05fe2e5b78287a
306,1937.10954569,0.0,120,5,23.21633829,1.94732941,0.46735906,7159ea74783fbdf59d5b65e376b107a11e4a8bdb994607cd1773458886c76e1f
