epoch,supply,reserve_balance,participants,validators,raw_delta_c,effective_delta_c,reproduction_applied,state_hash
40,1147.70960015,874.80369369,100,5,11.43775161,3.82006204,0.11437752,62d123b56c6cfd71e4951d1ce0c3bc772953c40a13e9856c517b96faff7072a0
41,1151.65694148,878.13823606,100,5,11.477096,3.83257037,0.11477096,2ebf6bc4c7ebb83c5298da4bb35cf9bf577e7078d8851040f6f4592d19ac0b54
42,1155.61722254,881.4836742,100,5,11.51656941,3.84511537,0.11516569,5d2638831f7db9ec46bcef249a7d289a5b3bc7dd7ad533f40bf6f659b09a18b9
43,1159.59048138,884.84003989,100,5,11.55617223,3.85769712,0.11556172,2c4d4c1b4d356caeb278273c8e0d2327d5270c6e375b4d8cdab2a871abf7084d
44,1163.5767561,888.20736494,100,5,11.59590481,3.87031567,0.11595905,381cc93dbb9e41943b0f1f1908b36be226679a43be7e6224c4bd656c9930b97f
45,1167.5760849,891.58568127,100,5,11.63576756,3.88297112,0.11635768,e149ae6e04b54f371cf5932d2cf837f816e5480b7908b558046d3d87b36a0a2a
46,1171.58850606,894.97502086,100,5,11.67576085,3.89566355,0.11675761,7e240a8991210337b8e824e626f09930d69ce6f62aa6e1c102427a54aac1e5ca
47,1175.61405793,898.37541573,100,5,11.71588506,3.90839302,0.11715885,210d77c2dd1313080b434ed021a424a6de11328f452d6c98361867b5976f9d51
48,1179.65277897,901.78689799,100,5,11.75614058,3.92115963,0.11756141,14ea05bfcc2891025f3cdc2bad48a2e7a1e93a77ddfc89020bcd7c05d927e055
49,1183.70470768,905.2094998,100,5,11.79652779,3.93396343,0.11796528,ae433d7738546de319c2b4ba7f54877751942c40b9a5d505c451f0588e575a93
50,1187.76988267,908.6432534,100,5,11.83704708,3.94680452,0.11837047,1fbcb73acf6de79ab34704c1f9168aa14aa1c8ce2824e05cb78d42601348be53
51,1191.84834263,912.08819108,100,5,11.87769883,3.95968297,0.11877699,357b68740d0143fafd18e10b2b615aca90a64cd801278419253f8b5a00f22b3b
52,1195.94012631,915.54434521,100,5,11.91848343,3.97259885,0.11918483,d458d4a6e2c3caee7ef3366abacbe0bab4a7f0d4a2c7f3ffac6744c546b9f851
53,1200.04527257,919.01174823,100,5,11.95940126,3.98555225,0.11959401,7fd6e6e80086966aa902eeee9baa3511b28abfafe6588d9dfc9ca93d89404b2c
54,1204.16382034,922.49043262,100,5,12.00045273,3.99854324,0.12000453,c41d564da231cb9d32277d999a1f4bb7b601eeefd9d4fa0d4fdf112de05101c4
55,1208.29580862,925.98043095,100,5,12.0416382,4.0115719,0.12041638,55bc853c6140b69902f4370697e5a9d1c3837817344f90b033737e7072ac5964
56,1212.4412765,929.48177584,100,5,12.08295809,4.0246383,0.12082958,02560cdf5e776500cb327d6fff4f3671dba990b81eb4e8750a5368029311d4de
57,1216.60026316,932.99449999,100,5,12.12441277,4.03774253,0.12124413,b1b115306b06c6e222a2ed18236becccc42c9a277786685f869419bf373bdd79
